T:	[18:55:54:372829]	*IDN?	R:	[18:55:54:513989]	ROBOT_PREMO, V1.0
T:	[19:01:00:751807]	STATE?	R:	[19:01:00:751960]	4
T:	[19:01:01:090112]	STATE?	R:	[19:01:01:090275]	4
T:	[19:01:01:394151]	STATE?	R:	[19:01:01:409756]	4
T:	[19:01:01:696077]	STATE?	R:	[19:01:01:701327]	4
T:	[19:01:01:997393]	STATE?	R:	[19:01:02:002651]	4
T:	[19:01:02:302610]	STATE?	R:	[19:01:02:318394]	4
T:	[19:01:02:606124]	STATE?	R:	[19:01:02:615415]	4
T:	[19:01:02:912255]	STATE?	R:	[19:01:02:917496]	4
T:	[19:01:03:224323]	STATE?	R:	[19:01:03:229586]	4
T:	[19:01:03:546102]	STATE?	R:	[19:01:03:551451]	4
T:	[19:01:03:869803]	STATE?	R:	[19:01:03:875292]	4
T:	[19:01:04:193562]	STATE?	R:	[19:01:04:214111]	4
T:	[19:01:04:495204]	STATE?	R:	[19:01:04:510449]	4
T:	[19:01:04:834637]	STATE?	R:	[19:01:04:841264]	4
T:	[19:01:05:135840]	STATE?	R:	[19:01:05:146441]	4
T:	[19:01:05:441941]	STATE?	R:	[19:01:05:447423]	4
T:	[19:01:05:765811]	STATE?	R:	[19:01:05:771361]	4
T:	[19:01:06:073134]	STATE?	R:	[19:01:06:073281]	4
T:	[19:01:06:382211]	STATE?	R:	[19:01:06:382350]	4
T:	[19:01:06:686442]	STATE?	R:	[19:01:06:686656]	4
T:	[19:01:06:995099]	STATE?	R:	[19:01:06:995284]	4
T:	[19:01:07:298979]	STATE?	R:	[19:01:07:304222]	4
T:	[19:01:07:610211]	STATE?	R:	[19:01:07:610369]	4
T:	[19:01:07:914484]	STATE?	R:	[19:01:07:924643]	4
T:	[19:01:08:219116]	STATE?	R:	[19:01:08:219294]	4
T:	[19:01:08:530686]	STATE?	R:	[19:01:08:530839]	4
T:	[19:01:08:839477]	STATE?	R:	[19:01:08:839626]	4
T:	[19:01:09:140956]	STATE?	R:	[19:01:09:141117]	4
T:	[19:01:09:448356]	STATE?	R:	[19:01:09:454041]	4
T:	[19:01:09:753263]	STATE?	R:	[19:01:09:753426]	4
T:	[19:01:10:064818]	STATE?	R:	[19:01:10:065083]	4
T:	[19:01:10:370893]	STATE?	R:	[19:01:10:381690]	4
T:	[19:01:10:675143]	STATE?	R:	[19:01:10:675326]	4
T:	[19:01:10:978719]	STATE?	R:	[19:01:10:978878]	4
T:	[19:01:11:283420]	STATE?	R:	[19:01:11:283684]	4
T:	[19:01:11:587155]	STATE?	R:	[19:01:11:587387]	4
T:	[19:01:11:915217]	STATE?	R:	[19:01:11:915410]	4
T:	[19:01:12:228476]	STATE?	R:	[19:01:12:228628]	4
T:	[19:01:12:546632]	STATE?	R:	[19:01:12:546777]	4
T:	[19:01:12:858019]	STATE?	R:	[19:01:12:858197]	4
T:	[19:01:12:863418]	MoveFromLCRToNoGood	R:	[19:01:13:226718]	ACK
T:	[19:01:13:494714]	STATE?	R:	[19:01:13:505409]	4
T:	[19:01:13:800670]	STATE?	R:	[19:01:13:805937]	4
T:	[19:01:14:106276]	STATE?	R:	[19:01:14:111568]	4
T:	[19:01:14:423665]	STATE?	R:	[19:01:14:423891]	4
T:	[19:01:14:727819]	STATE?	R:	[19:01:14:730451]	4
T:	[19:01:15:045413]	STATE?	R:	[19:01:15:050708]	4
T:	[19:01:15:346981]	STATE?	R:	[19:01:15:352443]	4
T:	[19:01:15:653005]	STATE?	R:	[19:01:15:663709]	4
T:	[19:01:15:964626]	STATE?	R:	[19:01:15:975268]	4
T:	[19:01:16:274635]	STATE?	R:	[19:01:16:295275]	4
T:	[19:01:16:580876]	STATE?	R:	[19:01:16:581046]	4
T:	[19:01:16:885453]	STATE?	R:	[19:01:16:885646]	4
T:	[19:01:17:191656]	STATE?	R:	[19:01:17:198937]	4
T:	[19:01:17:499158]	STATE?	R:	[19:01:17:499766]	4
T:	[19:01:17:802209]	STATE?	R:	[19:01:17:802440]	4
T:	[19:01:18:110181]	STATE?	R:	[19:01:18:120726]	4
T:	[19:01:18:414494]	STATE?	R:	[19:01:18:414842]	4
T:	[19:01:18:720113]	STATE?	R:	[19:01:18:730645]	4
T:	[19:01:19:036797]	STATE?	R:	[19:01:19:037097]	4
T:	[19:01:19:338894]	STATE?	R:	[19:01:19:339119]	4
T:	[19:01:19:642477]	STATE?	R:	[19:01:19:642659]	4
T:	[19:01:19:948818]	STATE?	R:	[19:01:19:949300]	4
T:	[19:01:20:265039]	STATE?	R:	[19:01:20:265325]	4
T:	[19:01:20:567567]	STATE?	R:	[19:01:20:577900]	4
T:	[19:01:20:870807]	STATE?	R:	[19:01:20:881274]	36
T:	[19:01:21:213914]	STATE?	R:	[19:01:21:214557]	292
T:	[19:01:23:335999]	ERR_REG?	R:	[19:01:23:336218]	146
T:	[19:12:16:824943]	STATE?	R:	[19:12:16:840495]	1
T:	[19:12:16:850828]	STATE?	R:	[19:12:16:856022]	1
T:	[19:12:17:165409]	STATE?	R:	[19:12:17:165573]	1
T:	[19:12:17:186175]	DUT_SERIAL_NB?	R:	[19:12:17:447842]	22\07\0912365

T:	[19:12:17:781267]	STATE?	R:	[19:12:17:786678]	1
T:	[19:12:17:786823]	MoveFromInpToHiPot	R:	[19:12:18:084493]	ACK
T:	[19:12:18:395103]	STATE?	R:	[19:12:18:400332]	1
T:	[19:12:18:698481]	STATE?	R:	[19:12:18:698626]	1
T:	[19:12:19:001335]	STATE?	R:	[19:12:19:001484]	1
T:	[19:12:19:307220]	STATE?	R:	[19:12:19:312981]	1
T:	[19:12:19:610569]	STATE?	R:	[19:12:19:610721]	1
T:	[19:12:19:920254]	STATE?	R:	[19:12:19:920403]	1
T:	[19:12:20:222617]	STATE?	R:	[19:12:20:227973]	1
T:	[19:12:20:526233]	STATE?	R:	[19:12:20:526431]	1
T:	[19:12:20:830615]	STATE?	R:	[19:12:20:835882]	1
T:	[19:12:21:137489]	STATE?	R:	[19:12:21:137651]	1
T:	[19:12:21:441927]	STATE?	R:	[19:12:21:442077]	1
T:	[19:12:21:747927]	STATE?	R:	[19:12:21:753160]	0
T:	[19:12:22:050810]	STATE?	R:	[19:12:22:056044]	0
T:	[19:12:22:354573]	STATE?	R:	[19:12:22:359905]	0
T:	[19:12:22:656235]	STATE?	R:	[19:12:22:661587]	0
T:	[19:12:22:960476]	STATE?	R:	[19:12:22:981006]	0
T:	[19:12:23:271752]	STATE?	R:	[19:12:23:277041]	0
T:	[19:12:23:573879]	STATE?	R:	[19:12:23:579146]	0
T:	[19:12:23:877931]	STATE?	R:	[19:12:23:883261]	0
T:	[19:12:24:181611]	STATE?	R:	[19:12:24:187006]	0
T:	[19:12:24:487898]	STATE?	R:	[19:12:24:488132]	0
T:	[19:12:24:800926]	STATE?	R:	[19:12:24:801128]	0
T:	[19:12:25:103451]	STATE?	R:	[19:12:25:108845]	0
T:	[19:12:25:432089]	STATE?	R:	[19:12:25:432470]	0
T:	[19:12:25:735560]	STATE?	R:	[19:12:25:740800]	0
T:	[19:12:26:037392]	STATE?	R:	[19:12:26:047926]	0
T:	[19:12:26:368320]	STATE?	R:	[19:12:26:373880]	0
T:	[19:12:26:675682]	STATE?	R:	[19:12:26:725337]	2
